country,crm_id,customer_name,segment_name,segment_code,tier,product_level1,product_level2,product_code,service_level,charge_code,charge_currency,computation_method,ecp_usd,esp_usd,FY23_fee_in_usd,FY23_volume,FY24_fee_in_usd,FY24_volume,Cash_revenue_bin,CIB_revenue_bin,avg_cp_at_country,avg_cp_at_cash_bin,avg_cp_at_cib_rev_bin,avg_cp_at_seg,avg_cp_at_tier,avg_cp_at_wa_volume
JP,CRM000001,Customer_0001,Banks,600,Platinum,Collections,CO,CAPCOLCOSTDB1,TDB,CHG0001,USD,Fixed flat,0.7329,0.7391,4601.88,6279,1031.92,1408,0-10K,0-100K,0.7375,0.6654,0.5063,0.5304,0.4955,0.3568
JP,CRM000002,Customer_0002,Banks,600,Portfolio,Liquidity,CASH,CAPLIQCASPRMB2,PRM,CHG0002,JPY,Fixed flat,0.6639,0.6541,1607.97,2422,1575.43,2373,200K-600K,0-100K,0.7375,0.6654,0.5526,0.5304,0.6108,0.4803
AU,CRM000003,Customer_0003,Middle Market,300,Gold,Liquidity,CASH,CAPLIQCASPRMB2,PRM,CHG0003,SGD,flat absolute,0.6828,0.684,5377.05,7875,1076.78,1577,200K-600K,>5M,0.4671,0.3234,0.8946,0.7644,0.3883,0.8254
DE,CRM000004,Customer_0004,Global Corporates,500,Platinum,Payments,CASH,CAPPAYCASPRMB2,PRM,CHG0004,JPY,Fixed flat,0.6616,0.6712,19369.0,29276,2811.14,4249,200K-600K,>5M,0.5434,0.3234,0.5526,0.6721,0.4955,0.5734
DE,CRM000005,Customer_0005,Global Corporates,500,Platinum,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0005,USD,Fixed flat,0.3087,0.3026,647.65,2098,6006.68,19458,>2M,100K-500K,0.5434,0.5707,0.5063,0.6721,0.4955,0.6205
DE,CRM000006,Customer_0006,Global Corporates,500,Portfolio,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0006,SGD,flat absolute,0.7249,0.7374,1520.84,2098,896.7,1237,600K-2M,0-100K,0.5434,0.6343,0.6061,0.6721,0.6108,0.5357
JP,CRM000007,Customer_0007,Banks,600,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0007,SGD,flat absolute,0.3027,0.3081,9641.0,31850,4474.21,14781,600K-2M,100K-500K,0.7375,0.6343,0.684,0.5304,0.3883,0.5412
JP,CRM000008,Customer_0008,Banks,600,Platinum,Collections,CO,CAPCOLCOPRMB2,RMB,CHG0008,EUR,Fixed flat,0.7903,0.781,7448.58,9425,962.59,1218,>2M,500K-2M,0.7375,0.6343,0.5063,0.5304,0.4955,0.6719
JP,CRM000009,Customer_0009,Traders & Buyers,460,Silver,Collections,CASH,CAPCOLCASPRMB2,PRM,CHG0009,USD,Fixed flat,1.4289,1.4276,2106.2,1474,1587.51,1111,>2M,100K-500K,0.7375,0.6654,0.5526,0.8296,0.7187,0.7178
JP,CRM000010,Customer_0010,Banks,600,Gold,Collections,CO,CAPCOLCOPRMB2,RMB,CHG0010,USD,flat absolute,0.3945,0.3944,2653.41,6726,4518.21,11453,600K-2M,500K-2M,0.7375,0.7955,0.684,0.5304,0.3883,0.8299
JP,CRM000011,Customer_0011,Banks,600,Gold,Clearing,Clearing,CAPCLECLESTDB1,STD,CHG0011,USD,Fixed flat,0.469,0.4714,697.4,1487,6207.68,13236,200K-600K,100K-500K,0.7375,0.3234,0.684,0.5304,0.3883,0.6709
JP,CRM000012,Customer_0012,Banks,600,Portfolio,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0012,SGD,flat absolute,0.3672,0.3637,544.19,1482,4403.1,11991,0-10K,2M-5M,0.7375,0.6654,0.5526,0.5304,0.6108,0.5705
DE,CRM000013,Customer_0013,Global Corporates,500,Gold,Payments,CO,CAPPAYCOSTDB1,TDB,CHG0013,SGD,flat absolute,1.1201,1.1411,4799.63,4285,646.3,577,10K-200K,>5M,0.5434,0.6654,0.5063,0.6721,0.3883,0.6264
DE,CRM000014,Customer_0014,Global Corporates,500,Silver,Payments,CO,CAPPAYCOSTDB1,TDB,CHG0014,USD,flat absolute,0.886,0.9018,149.73,169,1679.86,1896,10K-200K,0-100K,0.5434,0.3234,0.6061,0.6721,0.7187,0.5187
JP,CRM000015,Customer_0015,Banks,600,Gold,Clearing,CASH,CAPCLECASPRMB2,PRM,CHG0015,USD,flat absolute,0.5758,0.5829,128.98,224,6634.94,11523,600K-2M,>5M,0.7375,0.6654,0.5526,0.5304,0.3883,0.5042
DE,CRM000016,Customer_0016,Global Corporates,500,Silver,Collections,CASH,CAPCOLCASELTB4,ELT,CHG0016,EUR,Fixed flat,1.2507,1.2707,1603.4,1282,4825.2,3858,10K-200K,500K-2M,0.5434,0.5707,0.5526,0.6721,0.7187,0.3749
JP,CRM000017,Customer_0017,Traders & Buyers,460,Platinum,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0017,JPY,flat absolute,1.3881,1.4065,905.04,652,1122.97,809,10K-200K,0-100K,0.7375,0.3234,0.6061,0.8296,0.4955,0.6332
DE,CRM000018,Customer_0018,Global Corporates,500,Portfolio,Clearing,Clearing,CAPCLECLESTDB1,STD,CHG0018,JPY,flat absolute,0.6911,0.6936,3300.69,4776,4779.65,6916,0-10K,2M-5M,0.5434,0.5707,0.5063,0.6721,0.6108,0.5799
JP,CRM000019,Customer_0019,Traders & Buyers,460,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0019,EUR,flat absolute,0.6524,0.6437,497.78,763,872.91,1338,>2M,>5M,0.7375,0.6343,0.8946,0.8296,0.3883,0.3936
AU,CRM000020,Customer_0020,Middle Market,300,Gold,Clearing,Clearing,CAPCLECLESTDB1,STD,CHG0020,JPY,Fixed flat,0.3976,0.3921,142.34,358,17854.63,44906,0-10K,0-100K,0.4671,0.6654,0.684,0.7644,0.3883,0.7176
JP,CRM000021,Customer_0021,Banks,600,Gold,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0021,EUR,Fixed flat,0.2534,0.2509,6806.83,26862,8022.39,31659,0-10K,2M-5M,0.7375,0.7955,0.6061,0.5304,0.3883,0.5563
DE,CRM000022,Customer_0022,Global Corporates,500,Silver,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0022,SGD,flat absolute,0.7504,0.7629,1593.85,2124,6364.89,8482,>2M,2M-5M,0.5434,0.7955,0.684,0.6721,0.7187,0.7605
JP,CRM000023,Customer_0023,Traders & Buyers,460,Platinum,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0023,USD,flat absolute,0.3305,0.3343,1089.99,3298,8088.99,24475,10K-200K,500K-2M,0.7375,0.3234,0.5526,0.8296,0.4955,0.6272
AU,CRM000024,Customer_0024,Middle Market,300,Portfolio,Clearing,Clearing,CAPCLECLESTDB1,STD,CHG0024,USD,flat absolute,0.7785,0.7801,273.25,351,3103.1,3986,10K-200K,>5M,0.4671,0.6654,0.6061,0.7644,0.6108,0.3951
AU,CRM000025,Customer_0025,Middle Market,300,Silver,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0025,SGD,flat absolute,0.7034,0.7082,926.38,1317,7477.85,10631,200K-600K,100K-500K,0.4671,0.7955,0.6061,0.7644,0.7187,0.4862
DE,CRM000026,Customer_0026,Global Corporates,500,Silver,Payments,ACH,CAPPAYACHPRMB2,PRM,CHG0026,SGD,flat absolute,0.5648,0.5753,1988.1,3520,16276.97,28819,0-10K,2M-5M,0.5434,0.6343,0.6061,0.6721,0.7187,0.5764
DE,CRM000027,Customer_0027,Global Corporates,500,Portfolio,Clearing,CASH,CAPCLECASPRMB2,PRM,CHG0027,EUR,Fixed flat,0.8713,0.8859,461.79,530,4473.25,5134,>2M,2M-5M,0.5434,0.6654,0.6061,0.6721,0.6108,0.3978
AU,CRM000028,Customer_0028,Middle Market,300,Platinum,Clearing,CASH,CAPCLECASELTB4,ELT,CHG0028,SGD,Fixed flat,1.4268,1.4354,7472.15,5237,3634.06,2547,10K-200K,>5M,0.4671,0.6343,0.684,0.7644,0.4955,0.6859
JP,CRM000029,Customer_0029,Banks,600,Gold,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0029,JPY,flat absolute,1.9353,1.909,2341.71,1210,646.39,334,10K-200K,2M-5M,0.7375,0.6343,0.6061,0.5304,0.3883,0.596
JP,CRM000030,Customer_0030,Banks,600,Gold,Liquidity,CASH,CAPLIQCASPRMB2,PRM,CHG0030,USD,flat absolute,0.5105,0.5005,982.2,1924,1654.02,3240,>2M,0-100K,0.7375,0.3234,0.8946,0.5304,0.3883,0.6275
JP,CRM000031,Customer_0031,Traders & Buyers,460,Gold,Payments,OTT,CAPPAYOTTSTDB1,STD,CHG0031,EUR,flat absolute,0.4534,0.4568,547.71,1208,5227.7,11530,10K-200K,100K-500K,0.7375,0.3234,0.5063,0.8296,0.3883,0.4396
JP,CRM000032,Customer_0032,Banks,600,Platinum,Payments,ACH,CAPPAYACHELTB4,ELT,CHG0032,EUR,flat absolute,0.7093,0.7049,34027.96,47974,9704.64,13682,10K-200K,2M-5M,0.7375,0.6654,0.6061,0.5304,0.4955,0.4379
AU,CRM000033,Customer_0033,Middle Market,300,Silver,Payments,BT,CAPPAYBTPRMB2,RMB,CHG0033,USD,Fixed flat,0.6115,0.6131,1786.19,2921,4510.42,7376,200K-600K,2M-5M,0.4671,0.6654,0.684,0.7644,0.7187,0.8367
AU,CRM000034,Customer_0034,Middle Market,300,Gold,Liquidity,CASH,CAPLIQCASPRMB2,PRM,CHG0034,USD,Fixed flat,0.6631,0.6543,403.83,609,1131.25,1706,600K-2M,2M-5M,0.4671,0.3234,0.5526,0.7644,0.3883,0.6887
AU,CRM000035,Customer_0035,Middle Market,300,Silver,Collections,CASH,CAPCOLCASVIPB3,VIP,CHG0035,JPY,flat absolute,4.5816,4.5801,46901.84,10237,1044.6,228,10K-200K,100K-500K,0.4671,0.6654,0.684,0.7644,0.7187,0.6811
JP,CRM000036,Customer_0036,Banks,600,Gold,Liquidity,CASH,CAPLIQCASPRMB2,PRM,CHG0036,JPY,Fixed flat,0.6188,0.6257,295.17,477,1126.22,1820,200K-600K,100K-500K,0.7375,0.6343,0.684,0.5304,0.3883,0.5538
JP,CRM000037,Customer_0037,Traders & Buyers,460,Silver,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0037,USD,Fixed flat,0.7282,0.7238,2968.87,4077,1730.93,2377,200K-600K,100K-500K,0.7375,0.7955,0.684,0.8296,0.7187,0.7395
JP,CRM000038,Customer_0038,Banks,600,Silver,Payments,ACH,CAPPAYACHSTDB1,STD,CHG0038,SGD,Fixed flat,0.7834,0.7921,122.99,157,1840.21,2349,10K-200K,500K-2M,0.7375,0.6654,0.5526,0.5304,0.7187,0.3592
JP,CRM000039,Customer_0039,Traders & Buyers,460,Platinum,Liquidity,CASH,CAPLIQCASPRMB2,PRM,CHG0039,EUR,flat absolute,0.4852,0.4778,196.99,406,4199.41,8655,200K-600K,100K-500K,0.7375,0.6654,0.5526,0.8296,0.4955,0.5843
JP,CRM000040,Customer_0040,Banks,600,Silver,Payments,CO,CAPPAYCOVIPB3,IPB,CHG0040,EUR,flat absolute,0.3896,0.3819,1559.96,4004,22863.68,58685,0-10K,2M-5M,0.7375,0.5707,0.6061,0.5304,0.7187,0.7606
AU,CRM000041,Customer_0041,Middle Market,300,Silver,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0041,USD,flat absolute,0.556,0.5581,5017.34,9024,2406.37,4328,200K-600K,2M-5M,0.4671,0.6343,0.6061,0.7644,0.7187,0.815
AU,CRM000042,Customer_0042,Middle Market,300,Platinum,Clearing,Clearing,CAPCLECLESTDB1,STD,CHG0042,SGD,Fixed flat,0.7742,0.7662,2983.77,3854,2081.05,2688,600K-2M,2M-5M,0.4671,0.6654,0.5526,0.7644,0.4955,0.4239
DE,CRM000043,Customer_0043,Global Corporates,500,Gold,Payments,Pay,CAPPAYPAYPRMB2,PRM,CHG0043,SGD,Fixed flat,0.7292,0.7288,1827.38,2506,1846.33,2532,>2M,2M-5M,0.5434,0.7955,0.5526,0.6721,0.3883,0.4046
JP,CRM000044,Customer_0044,Banks,600,Silver,Collections,CO,CAPCOLCOVIPB3,IPB,CHG0044,USD,flat absolute,0.6703,0.6631,1271.56,1897,2904.41,4333,10K-200K,100K-500K,0.7375,0.6343,0.684,0.5304,0.7187,0.8292
JP,CRM000045,Customer_0045,Banks,600,Gold,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0045,EUR,Fixed flat,0.9698,0.9888,314.22,324,1106.54,1141,0-10K,500K-2M,0.7375,0.6343,0.8946,0.5304,0.3883,0.4309
DE,CRM000046,Customer_0046,Global Corporates,500,Portfolio,Collections,CASH,CAPCOLCASPRMB2,PRM,CHG0046,SGD,Fixed flat,0.7348,0.7367,743.62,1012,3165.52,4308,0-10K,0-100K,0.5434,0.3234,0.684,0.6721,0.6108,0.5621
AU,CRM000047,Customer_0047,Middle Market,300,Portfolio,Payments,BT,CAPPAYBTSTDB1,TDB,CHG0047,USD,flat absolute,0.5373,0.5436,802.19,1493,3677.28,6844,600K-2M,2M-5M,0.4671,0.5707,0.6061,0.7644,0.6108,0.727
JP,CRM000048,Customer_0048,Banks,600,Platinum,Collections,CO,CAPCOLCOSTDB1,TDB,CHG0048,SGD,flat absolute,0.4993,0.4926,7266.81,14554,2438.08,4883,0-10K,2M-5M,0.7375,0.5707,0.8946,0.5304,0.4955,0.5127
DE,CRM000049,Customer_0049,Global Corporates,500,Portfolio,Collections,CASH,CAPCOLCASELTB4,ELT,CHG0049,EUR,flat absolute,0.9464,0.9581,4723.48,4991,6537.73,6908,200K-600K,>5M,0.5434,0.6343,0.5063,0.6721,0.6108,0.3503
JP,CRM000050,Customer_0050,Banks,600,Silver,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0050,JPY,Fixed flat,0.481,0.4851,101.49,211,3214.04,6682,>2M,0-100K,0.7375,0.6654,0.5526,0.5304,0.7187,0.3964
JP,CRM000051,Customer_0051,Traders & Buyers,460,Gold,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0051,EUR,flat absolute,2.4109,2.3915,11685.63,4847,732.91,304,>2M,100K-500K,0.7375,0.6654,0.5526,0.8296,0.3883,0.5145
AU,CRM000052,Customer_0052,Middle Market,300,Platinum,Payments,OTT,CAPPAYOTTPRMB2,PRM,CHG0052,USD,Fixed flat,0.5494,0.5555,919.15,1673,4878.67,8880,200K-600K,100K-500K,0.4671,0.6343,0.5526,0.7644,0.4955,0.6656
JP,CRM000053,Customer_0053,Traders & Buyers,460,Platinum,Collections,CO,CAPCOLCOVIPB3,IPB,CHG0053,JPY,Fixed flat,0.8657,0.8715,934.09,1079,1231.89,1423,600K-2M,100K-500K,0.7375,0.7955,0.684,0.8296,0.4955,0.6244
AU,CRM000054,Customer_0054,Middle Market,300,Gold,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0054,JPY,flat absolute,1.2028,1.1998,8974.09,7461,944.2,785,200K-600K,100K-500K,0.4671,0.3234,0.5063,0.7644,0.3883,0.7724
DE,CRM000055,Customer_0055,Global Corporates,500,Gold,Payments,Pay,CAPPAYPAYPRMB2,PRM,CHG0055,JPY,flat absolute,1.1317,1.132,15838.14,13995,877.07,775,200K-600K,>5M,0.5434,0.6654,0.684,0.6721,0.3883,0.7862
AU,CRM000056,Customer_0056,Middle Market,300,Platinum,Liquidity,CASH,CAPLIQCASSTDB1,STD,CHG0056,SGD,flat absolute,0.3999,0.4005,4819.19,12051,2671.33,6680,200K-600K,2M-5M,0.4671,0.3234,0.6061,0.7644,0.4955,0.5668
AU,CRM000057,Customer_0057,Middle Market,300,Silver,Payments,ACH,CAPPAYACHPRMB2,PRM,CHG0057,USD,flat absolute,0.9549,0.9468,807.85,846,2545.76,2666,10K-200K,500K-2M,0.4671,0.6343,0.5526,0.7644,0.7187,0.6937
DE,CRM000058,Customer_0058,Global Corporates,500,Gold,Clearing,CASH,CAPCLECASSTDB1,STD,CHG0058,JPY,flat absolute,1.9574,1.9494,3668.17,1874,675.3,345,10K-200K,2M-5M,0.5434,0.7955,0.6061,0.6721,0.3883,0.6476
AU,CRM000059,Customer_0059,Middle Market,300,Gold,Clearing,CASH,CAPCLECASPRMB2,PRM,CHG0059,EUR,Fixed flat,0.687,0.6932,3365.61,4899,4883.88,7109,600K-2M,2M-5M,0.4671,0.6654,0.684,0.7644,0.3883,0.394
